date,market_price_usd,tx_volume_usd,tx_count,hash_rate,avg_tx_value_usd
2024-08-23,60382.01,7779554833.467165,799839.0,708218323.4467307,124891.36607640996
2024-08-24,64082.05,8091891894.064949,794380.0,660715874.9228647,125969.05800595
2024-08-25,64174.59,1702032825.6541271,705838.0,574347786.6976537,26507.088787310004
2024-08-26,64327.86,6102368262.378635,600722.0,578666191.1089141,95750.53435267998
2024-08-27,62857.78,9613387187.807987,673811.0,613213426.3989986,154117.60695177995
2024-08-28,59466.82,6632252546.814547,733530.0,703794017.3679069,111591.61713578997
2024-08-29,59024.11,6395977330.5875435,524362.0,587091196.5963086,106823.88374549005
2024-08-30,59389.34,7346359988.724018,542101.0,631567802.399059,124015.86162797
2024-08-31,59108.23,2193027465.921187,701952.0,653806105.3004345,37009.96510003
2024-09-01,58968.91,2648012585.459729,651871.0,631567802.399059,45419.569376299994
2024-09-02,57322.52,3100686678.1579823,754904.0,742759316.9059358,53217.32950300001
2024-09-03,59113.65,6012689752.026111,582751.0,662701426.4609846,102791.04179081002
2024-09-04,57430.23,5799794944.180726,722736.0,671596747.6215348,100866.63237075003
2024-09-05,57966.79,6158660147.1760235,721251.0,689387389.9426349,108435.03330001002
2024-09-06,56165.32,7064283321.400344,667267.0,644910784.1398844,128338.17553971
2024-09-07,53951.72,1519336722.3506465,781426.0,702730371.68346,27936.507460710014
2024-09-08,54158.39,1783924507.5377305,910083.0,742759316.9059358,32699.56661522002
2024-09-09,54857.17,6363322710.944949,572398.0,644910784.1398844,113769.05726147005
2024-09-10,57055.68,5660821108.553659,568630.0,609329499.4976839,99026.38919286002
2024-09-11,57636.19,4996530777.753266,411402.0,495458846.64224994,87641.14376736
2024-09-12,57345.38,5069102731.029143,563521.0,700222814.5578787,87205.55491853999
2024-09-13,58136.5,7391259643.194124,419047.0,566627672.3067043,125818.40799308999
2024-09-14,60565.91,2251848613.999916,638989.0,640335336.9970075,37399.876966460004
2024-09-15,60004.02,1557392812.0248942,712474.0,695616085.5147347,25880.475816640002
